20191226-225501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-230001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-230502  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191226-231001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191226-231501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191226-232001  ; RECEIVED_RATE ; 472 ; SENT_RATE ; 40
20191226-232501  ; RECEIVED_RATE ; 464 ; SENT_RATE ; 32
20191226-233001  ; RECEIVED_RATE ; 344 ; SENT_RATE ; 24
20191226-233501  ; RECEIVED_RATE ; 568 ; SENT_RATE ; 72
20191226-234001  ; RECEIVED_RATE ; 504 ; SENT_RATE ; 48
20191226-234501  ; RECEIVED_RATE ; 504 ; SENT_RATE ; 40
20191226-235001  ; RECEIVED_RATE ; 256 ; SENT_RATE ; 24
20191226-235501  ; RECEIVED_RATE ; 192 ; SENT_RATE ; 24
20191227-000001  ; RECEIVED_RATE ; 320 ; SENT_RATE ; 24
20191227-000501  ; RECEIVED_RATE ; 560 ; SENT_RATE ; 48
20191227-001002  ; RECEIVED_RATE ; 248 ; SENT_RATE ; 48
20191227-001501  ; RECEIVED_RATE ; 296 ; SENT_RATE ; 32
20191227-002001  ; RECEIVED_RATE ; 168 ; SENT_RATE ; 24
20191227-002501  ; RECEIVED_RATE ; 304 ; SENT_RATE ; 32
20191227-003001  ; RECEIVED_RATE ; 616 ; SENT_RATE ; 48
20191227-003501  ; RECEIVED_RATE ; 152 ; SENT_RATE ; 16
20191227-004001  ; RECEIVED_RATE ; 304 ; SENT_RATE ; 24
20191227-004501  ; RECEIVED_RATE ; 288 ; SENT_RATE ; 24
20191227-005001  ; RECEIVED_RATE ; 616 ; SENT_RATE ; 48
20191227-005501  ; RECEIVED_RATE ; 176 ; SENT_RATE ; 16
20191227-010002  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-010501  ; RECEIVED_RATE ; 352 ; SENT_RATE ; 544
20191227-011001  ; RECEIVED_RATE ; 232 ; SENT_RATE ; 16
20191227-011501  ; RECEIVED_RATE ; 552 ; SENT_RATE ; 40
20191227-012001  ; RECEIVED_RATE ; 496 ; SENT_RATE ; 40
20191227-012501  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 8
20191227-013001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-013501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-014001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-014501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191227-015001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191227-015501  ; RECEIVED_RATE ; 72 ; SENT_RATE ; 8
20191227-020001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-020501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-021001  ; RECEIVED_RATE ; 320 ; SENT_RATE ; 40
20191227-021501  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 24
20191227-022001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-022501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 8
20191227-023001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-023501  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 16
20191227-024001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-024501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-025001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-025501  ; RECEIVED_RATE ; 144 ; SENT_RATE ; 16
20191227-030001  ; RECEIVED_RATE ; 208 ; SENT_RATE ; 24
20191227-030501  ; RECEIVED_RATE ; 344 ; SENT_RATE ; 32
20191227-031001  ; RECEIVED_RATE ; 56 ; SENT_RATE ; 16
20191227-031501  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 16
20191227-032001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-032501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 16
20191227-033001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-033501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 0
20191227-034001  ; RECEIVED_RATE ; 56 ; SENT_RATE ; 8
20191227-034501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 24
20191227-035001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-035501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-040001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 16
20191227-040501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 16
20191227-041001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 16
20191227-041501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-042001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-042501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-043001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-043501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-044001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-044501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 8
20191227-045001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-045501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-050001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-050501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-051001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 0
20191227-051501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-052001  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
20191227-052501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 8
20191227-053001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-053501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 32
20191227-054001  ; RECEIVED_RATE ; 48 ; SENT_RATE ; 16
20191227-054501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 16
20191227-055001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-055501  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-060001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-060501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-061001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-061501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-062001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-062501  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 16
20191227-063001  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 8
20191227-063501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-064001  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 16
20191227-064502  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-065001  ; RECEIVED_RATE ; 64 ; SENT_RATE ; 16
20191227-065501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-070001  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-070501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 16
20191227-071001  ; RECEIVED_RATE ; 40 ; SENT_RATE ; 16
20191227-071501  ; RECEIVED_RATE ; 32 ; SENT_RATE ; 16
20191227-072002  ; RECEIVED_RATE ; 8 ; SENT_RATE ; 16
20191227-072501  ; RECEIVED_RATE ; 16 ; SENT_RATE ; 8
20191227-073001  ; RECEIVED_RATE ; 24 ; SENT_RATE ; 8
20191227-073501  ; RECEIVED_RATE ; 0 ; SENT_RATE ; 0
