start-time             |end-time               |duration|rtt     |proto|sip                                   |sp   |dip                                     |dp   |srcMacAddress    |destMacAddress   |iflags  |uflags  |riflags |ruflags |isn     |risn    |tag|rtag|pkt    |oct     |rpkt    |roct    |end-reason
2024-01-11 10:56:00.542|2024-01-11 10:56:00.599|   0.057|   0.057| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|38128|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      83|       1|     133|idle 
2024-01-11 10:56:00.542|2024-01-11 10:56:00.601|   0.059|   0.059| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 4225|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      83|       1|     161|idle 
2024-01-11 10:56:00.543|2024-01-11 10:56:00.603|   0.060|   0.060| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|29945|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      93|       1|     306|idle 
2024-01-11 10:56:00.543|2024-01-11 10:56:00.604|   0.061|   0.061| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|59420|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      93|       1|     209|idle 
2024-01-11 10:56:00.552|2024-01-11 10:56:00.605|   0.053|   0.053| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|16020|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      91|       1|     139|idle 
2024-01-11 10:56:00.693|2024-01-11 10:56:00.706|   0.013|   0.013| 17|                             192.168.1.2|49314|                             192.168.1.1|   53|00:e0:4c:53:44:58|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      77|       1|      93|idle 
2024-01-11 11:01:04.275|2024-01-11 11:01:06.060|   1.785|   0.146|  6|                             192.168.1.8|46003|                           15.73.144.142|  443|ec:8e:b5:b2:e8:54|dc:39:6f:f7:bf:70|       S|    APRF|      AS|     APF|c63e8f93|8f368442|000|000|      16|    2995|      15|    5791|
2024-01-11 11:01:06.061|2024-01-11 11:01:06.061|   0.000|   0.000|  6|                             192.168.1.8|46003|                           15.73.144.142|  443|ec:8e:b5:b2:e8:54|dc:39:6f:f7:bf:70|       R|       0|       0|       0|c63e9808|00000000|000|000|       1|      40|       0|       0|
2024-01-11 10:33:54.738|2024-01-11 11:01:08.075|1633.337|   0.112|  6|                           192.168.1.174|53623|                           52.28.203.152|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|     APF|      AP|     APF|562e6221|a11cd7b6|000|000|    1551| 1119294|    1490|  199171|
2024-01-11 11:01:08.222|2024-01-11 11:01:08.531|   0.309|   0.000|  6|                            192.168.1.10|45688|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|5271c013|c6eaec9f|000|000|       5|     423|       5|    1278|
2024-01-11 11:01:08.544|2024-01-11 11:01:08.863|   0.319|   0.001|  6|                            192.168.1.10|45690|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|193e5207|ac7a2b73|000|000|       5|     488|       5|    1461|
2024-01-11 11:01:02.165|2024-01-11 11:01:08.873|   6.708|   0.000|  6|                            192.168.1.10|52088|                             192.168.1.1|49000|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|753f0946|d48ee82c|000|000|     195|   19657|     169|  485695|
2024-01-11 10:59:15.626|2024-01-11 11:01:11.574| 115.948|   0.016|  6| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|57712|               2a00:1288:0080:0807::0002|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|     ECS|     APF|      AS|     APF|d4653a4a|07dd8f63|000|000|      16|    3074|      13|    2573|
2024-01-11 11:01:12.913|2024-01-11 11:01:13.017|   0.104|   0.000|  6|                            192.168.1.53|55360|                         255.255.255.255| 1883|84:0d:8e:b1:25:e2|ff:ff:ff:ff:ff:ff|       S|      AR|       0|       0|686ae402|00000000|000|000|       2|      84|       0|       0|
2024-01-11 10:33:54.731|2024-01-11 11:01:14.280|1639.549|   0.110|  6|                           192.168.1.174|53615|                            3.67.157.240|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|     APF|       A|     APF|83667017|d47973df|000|000|     834|  344421|     961|  143952|
2024-01-11 10:56:12.057|2024-01-11 10:56:12.057|   0.000|   0.000|  6|                           192.168.1.156|43668|                         142.250.186.170|  443|94:d3:31:3f:ba:63|dc:39:6f:f7:bf:70|       A|       0|       0|       0|054852eb|00000000|000|000|       1|      52|       0|       0|idle 
2024-01-11 10:56:14.691|2024-01-11 10:56:14.692|   0.001|   0.001| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|24026|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      98|       1|     254|idle 
2024-01-11 10:56:14.691|2024-01-11 10:56:14.693|   0.002|   0.002| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|61927|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      98|       1|     207|idle 
2024-01-11 10:56:14.691|2024-01-11 10:56:14.694|   0.003|   0.003| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|17170|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      98|       1|     254|idle 
2024-01-11 10:56:14.698|2024-01-11 10:56:14.698|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|58517|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     172|       0|       0|idle 
2024-01-11 10:56:14.700|2024-01-11 10:56:14.700|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|56260|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     172|       0|       0|idle 
2024-01-11 10:56:14.730|2024-01-11 10:56:14.730|   0.000|   0.000| 17|               fd00::de39:6fff:fef7:bf70|   53| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|38549|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       0|       0|       0|       0|00000000|00000000|000|000|       1|     139|       0|       0|idle 
2024-01-11 10:52:09.688|2024-01-11 10:56:14.904| 245.216|   0.015|  6|                           192.168.1.156|58718|                          142.250.185.74|  443|94:d3:31:3f:ba:63|dc:39:6f:f7:bf:70|       S|      AP|      AS|     APF|997878e6|9008cfa9|000|000|       9|    1621|       8|    1896|idle 
2024-01-11 10:47:24.512|2024-01-11 11:01:15.643| 831.131|   0.016|  6|                           192.168.1.174|57043|                           23.212.89.123|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|639a5dde|6c614e26|000|000|     173|   36083|     252|   35159|
2024-01-11 11:01:16.114|2024-01-11 11:01:17.590|   1.476|   0.043|  6|                            192.168.1.87|54316|                            99.80.34.179|  443|dc:fe:23:36:60:70|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|4b3fe410|a030db26|000|000|      18|    5132|      20|    6582|
2024-01-11 10:33:54.739|2024-01-11 11:01:19.054|1644.315|   0.145|  6|                           192.168.1.174|53621|                           54.154.148.20|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|      AP|     APF|      AP|     APF|1450f8b0|aa78c1b4|000|000|     547|  183721|     861|  265823|
2024-01-11 10:52:10.729|2024-01-11 10:56:15.929| 245.200|   0.025|  6|                           192.168.1.156|43564|                         142.250.184.202|  443|94:d3:31:3f:ba:63|dc:39:6f:f7:bf:70|       S|      AP|      AS|     APF|3bd4b3b9|0f2d06fa|000|000|       7|     458|       8|    1908|idle 
2024-01-11 10:56:16.044|2024-01-11 10:56:16.046|   0.002|   0.002| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|34221|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     108|idle 
2024-01-11 10:56:16.044|2024-01-11 10:56:16.047|   0.003|   0.003| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|23197|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|      96|idle 
2024-01-11 10:56:16.044|2024-01-11 10:56:16.048|   0.004|   0.004| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|18527|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     105|idle 
2024-01-11 10:56:16.052|2024-01-11 10:56:16.095|   0.043|   0.023| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|64306|               2a00:1450:4001:0828::2004|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       5|    1688|       5|    2578|idle 
2024-01-11 10:56:14.165|2024-01-11 10:56:17.060|   2.895|   0.000| 17|                           192.168.1.174|63845|                         239.255.255.250| 1900|6c:b1:33:a2:d1:20|01:00:5e:7f:ff:fa|       0|       0|       0|       0|00000000|00000000|000|000|       4|     816|       0|       0|idle 
2024-01-11 10:52:11.914|2024-01-11 10:56:17.259| 245.345|   0.016|  6|                           192.168.1.156|43670|                         142.250.186.170|  443|94:d3:31:3f:ba:63|dc:39:6f:f7:bf:70|       S|      AP|      AS|     APF|9bcc7f39|169dac06|000|000|       9|    1589|       8|    1944|idle 
2024-01-11 10:56:18.364|2024-01-11 10:56:18.374|   0.010|   0.010| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|54021|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      82|       1|     203|idle 
2024-01-11 10:56:18.364|2024-01-11 10:56:18.376|   0.012|   0.012| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|12351|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      82|       1|     203|idle 
2024-01-11 10:56:18.364|2024-01-11 10:56:18.420|   0.056|   0.056| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|42495|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      82|       1|     189|idle 
2024-01-11 10:59:14.566|2024-01-11 11:01:22.044| 127.478|   0.003|  6|                            37.157.6.232|  443|                           192.168.1.174|57701|dc:39:6f:f7:bf:70|6c:b1:33:a2:d1:20|       A|     APF|      AP|     APF|b0e242d3|1129b908|000|000|      14|    6359|      11|    1033|
2024-01-11 11:01:22.528|2024-01-11 11:01:22.930|   0.402|   0.000|  6|                            192.168.1.10|45706|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|8cb079e9|e8390e35|000|000|       5|     423|       5|    1278|
2024-01-11 11:01:22.941|2024-01-11 11:01:23.407|   0.466|   0.001|  6|                            192.168.1.10|45708|                             192.168.1.1|   80|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|704fd7c6|1158ff11|000|000|       5|     488|       5|    1461|
2024-01-11 11:01:16.449|2024-01-11 11:01:23.419|   6.970|   0.000|  6|                            192.168.1.10|52106|                             192.168.1.1|49000|b8:27:eb:09:4c:3c|dc:39:6f:f7:bf:70|       S|     APF|      AS|     APF|8fbe808e|3dda331e|000|000|     178|   18773|     166|  485539|
2024-01-11 11:01:21.987|2024-01-11 11:01:25.418|   3.431|   0.016|  6| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|58717|          2a01:b740:0a41:0280::0002:0004|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|     ECS|     APF|     EAS|     APF|3fbadabc|784d21d3|000|000|      31|   12765|      40|   19307|
2024-01-11 10:59:28.147|2024-01-11 11:01:28.287| 120.140|   0.023|  6|                           192.168.1.174|57726|                           185.89.208.11|  443|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       S|      AP|      AS|    APRF|29456e3a|c4bc332f|000|000|      24|   15248|      24|    8203|
2024-01-11 10:56:25.081|2024-01-11 10:56:25.105|   0.024|   0.024| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536|56836|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     218|idle 
2024-01-11 10:56:25.081|2024-01-11 10:56:25.108|   0.027|   0.027| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 6932|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     218|idle 
2024-01-11 10:56:25.081|2024-01-11 10:56:25.120|   0.039|   0.039| 17| 2a03:9b40:20e7:7900:b865:7f8b:e829:d536| 9016|               fd00::de39:6fff:fef7:bf70|   53|6c:b1:33:a2:d1:20|dc:39:6f:f7:bf:70|       0|       0|       0|       0|00000000|00000000|000|000|       1|      80|       1|     176|idle 
